"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Corynebacterineae_1" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "NA" "NA"
"Corynebacterium" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "NA"
"Crenotrichaceae_1" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "Crenotrichaceae" "NA" "NA"
"Dermabacter" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Dermabacteraceae" "Dermabacter" "NA"
"Dermabacteraceae_1" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Dermabacteraceae" "NA" "NA"
"Dermacoccus" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Dermacoccaceae" "Dermacoccus" "NA"
"Dethiosulfovibrio" "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" "Dethiosulfovibrio" "NA"
"Dialister" "Bacteria" "Firmicutes" "Negativicutes" "Veillonellales" "Veillonellaceae" "Dialister" "NA"
"Dorea" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Dorea" "NA"
"Duganella" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Duganella" "NA"
"Eggerthella" "Bacteria" "Actinobacteria" "Coriobacteriia" "Eggerthellales" "Eggerthellaceae" "Eggerthella" "NA"
"Enhydrobacter" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "unclassified Rhodospirillales" "Enhydrobacter" "NA"
"Enterobacter" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Enterobacter" "NA"
"Enterobacteriaceae_1" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "NA" "NA"
"Enterobacteriaceae_5" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "NA" "NA"
"Enterobacteriaceae_8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "NA" "NA"
"Enterobacteriaceae_7" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "NA" "NA"
"Enterobacteriaceae_2" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "NA" "NA"
"Enterococcaceae_1" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "NA" "NA"
"Enterococcus" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "NA"
"Erysipelotrichaceae_Incertae_Sedis" "Bacteria" "Firmicutes" "Erysipelotrichaceae" "NA" "NA" "NA" "NA"
"Exiguobacterium" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales incertae sedis" "Exiguobacterium" "NA"
"Facklamia" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Aerococcaceae" "Facklamia" "NA"
"Fastidiosipila" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Fastidiosipila" "NA"
"Finegoldia" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Finegoldia" "NA"
"Firmicutes_3" "Bacteria" "Firmicutes" "NA" "NA" "NA" "NA" "NA"
"Firmicutes_2" "Bacteria" "Firmicutes" "NA" "NA" "NA" "NA" "NA"
"Firmicutes_4" "Bacteria" "Firmicutes" "NA" "NA" "NA" "NA" "NA"
"Firmicutes_5" "Bacteria" "Firmicutes" "NA" "NA" "NA" "NA" "NA"
"Firmicutes_1" "Bacteria" "Firmicutes" "NA" "NA" "NA" "NA" "NA"
"Flavobacteriaceae_4" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "NA" "NA"
"Flavobacterium" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "NA"
"Flectobacillus" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Flectobacillus" "NA"
"Flexibacteraceae_2" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
"Flexibacteraceae_4" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
"Flexibacteraceae_3" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
"Flexibacteraceae_5" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
"Flexibacteraceae_1" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
"Fusobacteriaceae_1" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "NA" "NA" "NA"
